observed_at,vessel_id,name,imo,mmsi,flag,vessel_type,deadweight,latitude,longitude,speed_knots,cog_degrees,draught_meters,nav_status,destination,position_source,zone,date_utc,hour_utc,is_destination_missing,is_speed_missing,is_draught_missing
2026-03-27T07:40:35Z,,AL SAKHAMAH LNG,9986051.0,636024977.0,Liberia,Tanker,94326.0,24.55913,66.34755,,,,,,TankerMap AIS,,2026-03-27,7,True,True,True
2026-03-27T07:40:46Z,,AL SAKHAMAH LNG,9986051.0,636024977.0,Liberia,Tanker,94326.0,24.55913,66.34755,,,,,,TankerMap AIS,,2026-03-27,7,True,True,True
2026-03-27T07:40:58Z,,AL SAKHAMAH LNG,9986051.0,636024977.0,Liberia,Tanker,94326.0,24.55913,66.34755,,,,,,TankerMap AIS,,2026-03-27,7,True,True,True
2026-03-27T07:41:10Z,,AL SAKHAMAH LNG,9986051.0,636024977.0,Liberia,Tanker,94326.0,24.55913,66.34755,,,,,,TankerMap AIS,,2026-03-27,7,True,True,True
2026-03-27T07:41:22Z,,AL SAKHAMAH LNG,9986051.0,636024977.0,Liberia,Tanker,94326.0,24.55913,66.34755,,,,,,TankerMap AIS,,2026-03-27,7,True,True,True
2026-03-27T06:43:13Z,,HL ALYSSA WARNER LNG,9972359.0,636024983.0,Liberia,Tanker,89033.0,21.648771666666665,-76.04478333333333,,,,Under way,,TankerMap AIS1,,2026-03-27,6,True,True,True
2026-03-27T06:46:30Z,,HL ALYSSA WARNER LNG,9972359.0,636024983.0,Liberia,Tanker,89033.0,21.648771666666665,-76.04478333333333,,,,Under way,,TankerMap AIS1,,2026-03-27,6,True,True,True
2026-03-27T07:39:36Z,,HL ALYSSA WARNER LNG,9972359.0,636024983.0,Liberia,Tanker,89033.0,21.648771666666665,-76.04478333333333,,,,Under way,,TankerMap AIS1,,2026-03-27,7,True,True,True
2026-03-27T07:39:48Z,,HL ALYSSA WARNER LNG,9972359.0,636024983.0,Liberia,Tanker,89033.0,21.648771666666665,-76.04478333333333,,,,Under way,,TankerMap AIS1,,2026-03-27,7,True,True,True
2026-03-27T07:39:59Z,,HL ALYSSA WARNER LNG,9972359.0,636024983.0,Liberia,Tanker,89033.0,21.648771666666665,-76.04478333333333,,,,Under way,,TankerMap AIS1,,2026-03-27,7,True,True,True
2026-03-27T07:40:11Z,,HL ALYSSA WARNER LNG,9972359.0,636024983.0,Liberia,Tanker,89033.0,21.648771666666665,-76.04478333333333,,,,Under way,,TankerMap AIS1,,2026-03-27,7,True,True,True
