vessel_a_mmsi,vessel_b_mmsi,vessel_a_name,vessel_b_name,zone,overlap_start,overlap_end,overlap_seconds,overlap_hours,avg_distance_nm,min_distance_nm,vessel_a_avg_speed,vessel_b_avg_speed,vessel_a_draught_change,vessel_b_draught_change,sts_score
538011214.0,525701066.0,FUJI LNG LNG,LADY EVA LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,4.095205192610792,4.095205192610793,,,,,0.6042876884433523
538008352.0,563574000.0,MERCHANT LNG,SHANDONG JUNIPER LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,4.1494211207563545,4.124332787785675,,,,,0.6025400327328595
563177800.0,241352000.0,SERI DAMAI LNG,MARAN GAS TROY LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,4.175017718689425,4.173975066630429,,,,,0.5995614960021742
538011214.0,431778000.0,FUJI LNG LNG,PACIFIC MIMOSA LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,4.177365124600681,4.176502047797713,,,,,0.5994098771321372
563216800.0,431778000.0,HOEGH GANDRIA LNG,PACIFIC MIMOSA LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,4.177020085522042,4.176533845532124,,,,,0.5994079692680725
538008396.0,636023905.0,HONGKONG ENERGY LNG,KLNGTP OCEANIA LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,4.3751154100165754,4.248960077899616,,,,,0.595062395326023
563177800.0,525701066.0,SERI DAMAI LNG,LADY EVA LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,4.304247740563699,4.303154359018415,,,,,0.5918107384588951
563574000.0,311001874.0,SHANDONG JUNIPER LNG,SEAPEAK HISPANIA LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,4.335178109192708,4.310916965764295,,,,,0.5913449820541423
563177800.0,431778000.0,SERI DAMAI LNG,PACIFIC MIMOSA LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,4.353892008916052,4.352779176057462,,,,,0.5888332494365522
538011214.0,256056000.0,FUJI LNG LNG,COOL RIDER LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,4.408078265922105,4.40138742119242,,,,,0.5859167547284547
563216800.0,256056000.0,HOEGH GANDRIA LNG,COOL RIDER LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,4.408317041690454,4.401894657601679,,,,,0.5858863205438992
256056000.0,310779000.0,COOL RIDER LNG,GASLOG GLADSTONE LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,4.595159250234242,4.567423199043368,,,,,0.5759546080573978
563574000.0,636023905.0,SHANDONG JUNIPER LNG,KLNGTP OCEANIA LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,4.7125545078462645,4.687302508575838,,,,,0.5687618494854497
232006298.0,477732500.0,BRITISH CONTRIBUTOR LNG,LNG JIA XING LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,167.35287319105436,167.34513527109402,,,,,0.55
232006298.0,525114138.0,BRITISH CONTRIBUTOR LNG,ARUNIKA JAYA LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,30.713928141212577,30.705078086177394,,,,,0.55
232006298.0,525701066.0,BRITISH CONTRIBUTOR LNG,LADY EVA LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,7.047909399900061,7.046170021209561,,,,,0.55
232006298.0,525901876.0,BRITISH CONTRIBUTOR LNG,DANAPUTRI 1 LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,13.511103861761363,13.500782325486789,,,,,0.55
232006298.0,533130753.0,BRITISH CONTRIBUTOR LNG,SERI CEMARA LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,30.492590726495276,30.487515201481763,,,,,0.55
232006298.0,372307000.0,BRITISH CONTRIBUTOR LNG,TAITAR NO.2 LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T06:46:30Z,196.44507,0.054568074999999994,163.03607653842914,163.0359609167398,,,,,0.55
232006298.0,654311424.0,BRITISH CONTRIBUTOR LNG,LNGT KARADENIZ LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,124.5147907944778,124.51279248580231,,,,,0.55
232006298.0,538002921.0,BRITISH CONTRIBUTOR LNG,TEMBEK LNG,strait_of_malacca,2026-03-27T07:39:36Z,2026-03-27T07:41:22Z,106.012925,0.02944803472222222,446.05064671046614,446.05064671046625,,,,,0.55
538003099.0,538003295.0,AL AAMRIYA LNG,AL SAMRIYA LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,31.389118382599047,31.25937676809435,,,,,0.55
538003099.0,538004983.0,AL AAMRIYA LNG,KOOL HUSKY LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,206.63276473247024,203.63732363606823,,,,,0.55
538003099.0,538007985.0,AL AAMRIYA LNG,SINGAPORE ENERGY LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,310.77403651682374,307.56906413488423,,,,,0.55
538003099.0,538008352.0,AL AAMRIYA LNG,MERCHANT LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,312.4430100532073,309.22629799696637,,,,,0.55
538003099.0,538008396.0,AL AAMRIYA LNG,HONGKONG ENERGY LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,309.55974975038185,306.3407239653234,,,,,0.55
538003099.0,533937000.0,AL AAMRIYA LNG,SERI AMANAH LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,431.4174781600088,428.03496971385414,,,,,0.55
538003099.0,538008876.0,AL AAMRIYA LNG,ENERGY INTELLIGENCE LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T06:46:30Z,196.44507,0.054568074999999994,457.66142879185225,457.66142879185225,,,,,0.55
538003099.0,563177800.0,AL AAMRIYA LNG,SERI DAMAI LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,430.8662124397242,427.547585699174,,,,,0.55
538003099.0,563216800.0,AL AAMRIYA LNG,HOEGH GANDRIA LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,427.56817019658,424.2600212652083,,,,,0.55
538003099.0,563239700.0,AL AAMRIYA LNG,NORTH OCEAN LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,445.5271552522031,442.175042938858,,,,,0.55
